Company,Stage,Funding / Backing,HQ,Size,What They Do,AI Focus,Recent (2025-26),Website,# Roles
Hinge,"Owned by Match Group (public, NASDAQ: MTCH); Hinge is fastest-growing brand",Part of Match Group (public),New York City,Hinge ~400-500,Relationship-focused dating app ('designed to be deleted') with subscription + a la carte monetization,"AI-driven matching/recommendations, ML profile ranking, AI features to improve dating outcomes",2025-26: continued Hinge-led growth for Match Group; investment in AI matching and 'dating outcomes',hinge.co,2
Hitachi Vantara,"public (subsidiary of Hitachi, TSE: 6501)",Public parent (Hitachi); large enterprise tech company,"Santa Clara, CA","~10,000+ employees","Enterprise data infrastructure and digital/IoT solutions company providing storage, data management, and AI/data platforms.","AI platforms for enterprise data, Hitachi iQ (AI infrastructure with NVIDIA), data fabric and operational/industrial AI.",2025 expansion of Hitachi iQ AI infrastructure and enterprise GenAI/data-platform offerings.,https://hitachivantara.com,1
Hopper,Late-stage growth (pre-IPO),~$740M+ total raised; largest $175M Series G (Aug 2021); ~$5B valuation (2022); exploring IPO at ~$10B target,"Montreal, Canada (remote-distributed)","~1,000-1,200",Consumer travel app plus HTS B2B division white-labeling Hopper's pricing/fintech products,"Predictive price-forecasting ML (core IP) and fintech-as-a-service add-ons (price freeze, cancel-for-any-reason)",Jan 2025 reports of long-term IPO planning at ~$10B target; HTS B2B push,https://www.hopper.com,1
HUMAN,growth (late-stage private),"$50M+ growth round (Oct 2024) led by WestCap, with Goldman Sachs, ClearSky, NightDragon, Vertex Ventures US; total raised well over $200M","New York, NY",~500-700 employees,"Cybersecurity company that verifies the humanity of digital interactions, defending brands from bots, fraud and account abuse.","ML/behavioral analysis, device fingerprinting and botnet detection; verifies 20T+ interactions/week across ads, e-commerce and security.",Named #1 vendor in G2 Winter 2026 Bot Detection & Mitigation grid; continued Sightline platform expansion.,https://humansecurity.com,2
Incedo Inc.,private (digital/AI consulting & engineering services),private; ~$800M revenue,"US (Boston/NJ area) with large India delivery; 4,000+ people","~4,000+ employees","AI & data transformation consulting/engineering firm serving Fortune 500 (wealth mgmt, banking, telecom, hi-tech, life sciences).","Incedo Lighthouse AI platform; AI Digital Consultant for Wealth Management (diagnose, forecast, next-best-action).",2025 expansion of AI products incl. AWS Marketplace AI Digital Consultant for Wealth Management.,https://www.incedoinc.com,1
Innovid,"private (acquired by Mediaocean, Feb 2025; formerly NYSE: CTV)",Acquired by Mediaocean for ~$500M EV (2025); now Mediaocean's unified ad-tech brand,"New York, NY","~1,000+ employees (combined Innovid/Flashtalking)","Independent omnichannel ad-tech platform for CTV, digital, social, and linear advertising","AI/ML for ad creative optimization, measurement, and identity resolution across screens; 'always-on intelligence' for ad spend",2025: Mediaocean completed acquisition and unified Innovid + Flashtalking under the Innovid brand as an independent ad-tech platform,https://www.innovid.com,1
Intuit,Public (NASDAQ: INTU),Public; ~$16B+ annual revenue.,"Mountain View, CA (NYC presence)","~18,000+ employees","Financial software: TurboTax, QuickBooks, Credit Karma, Mailchimp.","GenOS platform, AI agents ('Intuit Assist'), and ML across tax/accounting; major bet on agentic AI for SMB and consumer finance.",Rolling out agentic AI ('done-for-you' experiences) across QuickBooks and TurboTax (2025-2026).,https://www.intuit.com,1
Ironclad,Late-stage private (pre-IPO),"~$333M total; $150M Series E (2022, Franklin Templeton) at $3.2B valuation. Accel, Sequoia, YC, BOND","San Francisco, CA",~752,"AI-powered contract lifecycle management (CLM) - create, negotiate, sign, manage contracts for legal/business teams","Agentic architecture - Intake Agent, Redlining Agent, Conversational Search, Ironclad Assistant (autonomous contract tasks)",Jan 2026: hit $200M ARR (+34% YoY); launched autonomous Ironclad Assistant; Gartner MQ + Forrester Wave leader,ironcladapp.com,1
Jefferies,public (NYSE: JEF),Public; global investment bank,"New York, NY","~7,000+ employees","Global investment banking and capital-markets firm providing advisory, trading and research.","Internal AI/data-science transformation - deploying AI/ML and GenAI to support trading, research and operations.",2025 build-out of internal AI capabilities and data-science teams across the firm.,https://jefferies.com,1
Jobot,"Profitable private growth company (employee-owned ESOP, bootstrapped)",None institutional (effectively self-funded),"Irvine, CA","~500-1,300",AI-augmented recruiting/staffing & consulting firm pairing proprietary AI with human recruiters,'Jax' AI job-matching engine; 'Jeni' AI recruiting assistant,Launched Jeni AI recruiting assistant (2025-26),https://jobot.com,1
JPMorganChase,public (NYSE: JPM),Public; largest U.S. bank by assets (~$4T),"New York, NY","~310,000 employees","Global banking, financial services, and payments giant","Firmwide AI/ML at scale: LLM Suite, fraud/risk ML platforms, applied AI across CIB, payments, identity, and advisor tools; thousands of AI use cases in production",2025-2026: expanded firmwide generative-AI deployment (LLM Suite to ~200K+ employees) and heavy investment in applied-AI and AI-risk product orgs,https://www.jpmorganchase.com,9
Justworks,"growth (late-stage private, Series E; pulled 2022 IPO)","Series E; backed by Index Ventures, Bain Capital Ventures, Redpoint, Thrive; ~$2B valuation (2022)","New York, NY","~1,000+ employees (co-employs ~140K via PEO)","Cloud HR/PEO platform handling payroll, benefits, compliance and HR for small and mid-sized businesses.",AI/automation in internal operations and product (Product Ops AI & Systems role); partner and advisor channels.,Cut ~200 staff in Feb 2025; targeting return to profitability by early 2027.,https://justworks.com,3
Kensho Technologies,subsidiary of S&P Global (NYSE: SPGI),acquired by S&P Global in 2018 (~$550M); now S&P Global's AI hub,"Cambridge, MA / New York, NY",~100-300 employees (within S&P Global),S&P Global's AI engine: ML/NLP building blocks and enterprise data-retrieval for finance and business.,"Agentic workflows, data retrieval APIs, Kensho Link/Classify/Extract/Scribe, S&P AI Benchmarks; LLM/NLP for finance.",Continued expansion of agentic data-retrieval and AI products across S&P Global through 2025-2026.,https://kensho.com,1
Kroll,private (independent risk & financial advisory firm),Private (backed by Stone Point Capital & others); global advisory firm,"New York, NY","~6,500+ employees","Global risk and financial advisory firm (valuation, restructuring, cyber, investigations)","AI Risk Consulting practice, Kroll Decision Intelligence (data science + AI), new tech/AI-leveraged advisory practices",2025-2026: launched new technology/AI practices and expanded AI Risk Consulting to accelerate decision-making,https://www.kroll.com,1
LangChain,Growth-stage startup (unicorn),"$125M Series B at $1.25B val (Oct 2025, IVP-led; Sequoia, Benchmark, CapitalG, ServiceNow/Workday/Cisco/Datadog/Databricks); ~$260M total raised; ~$16M ARR","San Francisco, CA",~325,Open-source framework and platform for building LLM apps and AI agents ('the platform for agent engineering'),"LangChain (framework), LangGraph (agent orchestration/memory), LangSmith (observability/eval) — pure-play AI agent devtools",Hit unicorn status with $125M Series B (Oct 2025),https://www.langchain.com,2
Legora,Growth (Series D; ~$5.55B valuation),"Raised $80M Series B, $150M Series C (Oct 2025, $1.8B val), $550M Series D (2026, $5.55B val, led by Accel). Investors: Benchmark, ICONIQ, General Catalyst, Y Combinator, Nvidia, Atlassian.","Stockholm, Sweden (US HQ New York, opened 2025)",~300+ employees (est.),"Collaborative AI platform for legal work — research, review, and drafting for law firms and in-house teams (used by 800+ firms).","LLM/agent-driven legal research, document review, and drafting; document AI at the core. Competes with Harvey.",Raised $550M Series D (2026) at $5.55B; rapid US expansion from NYC into Houston and Chicago.,https://legora.com,1
LinkedIn,"Public (subsidiary of Microsoft, NASDAQ: MSFT)",Public; part of Microsoft,"Sunnyvale, CA (major NYC office)","~17,500 (~5% reduction in 2026 AI restructuring)",Professional networking + hiring/marketing/learning marketplace (~1B+ members),"LinkedIn AI agents, AI hiring tools, AI labor marketplace, new paid 'Advice Sessions' consultations",May 2026: launched paid consultations / Advice Sessions + AI hiring tools; ongoing AI-driven restructuring,linkedin.com,1
LSEG,"public (LSE: LSEG, London Stock Exchange Group)",Public; global financial-markets infrastructure and data company,"London, UK (NYC office)","~25,000+ employees","Financial markets infrastructure and data provider (LSE exchange, Refinitiv data, analytics and trading platforms).",AI across financial data and analytics; partnership with Microsoft to embed GenAI/Copilot in Workspace and data products.,2025 continued rollout of Microsoft-partnered GenAI features across LSEG Workspace and data analytics.,https://lseg.com,1
MarketAxess,Public (NASDAQ: MKTX),Public,"New York, NY","~900-1,000 staff",Leading electronic trading platform for global fixed-income (bonds/credit),CP+ AI algorithmic pricing engine (extended to munis); X-Pro AI analytics platform; Mid-X AI predictive-pricing sessions,AI-powered Mid-X for US credit and CP+ expansion to muni bonds (2025-26),https://www.marketaxess.com,1
MDCalc,"startup (small, profitable-ish content/SaaS)",largely bootstrapped; minimal disclosed funding (seed),"New York, NY",~11-50 employees,Point-of-care clinical decision-support platform: 800+ medical calculators/scores used widely by clinicians.,Exploring LLM-powered clinical calculator/chatbot experiences grounded in evidence-based content.,Growing commercial/enterprise offering; AI/LLM exploration around clinical decision support (2025).,https://www.mdcalc.com,1
Mercury,growth (late-stage private),"~$700M+ total; latest $200M at $5.2B valuation (May 2026, TCV-led; Sequoia, a16z, Coatue); Series C $300M (2025)","San Francisco, CA (role in NYC)","~1,500-1,600 employees",Banking and financial-stack platform for startups and businesses,API & agentic banking — enabling AI agents to interact with banking/financial workflows; AI in product and operations,"2026: received conditional OCC approval toward a federal bank charter; $650M annualized revenue, profitable; $5.2B valuation",https://www.mercury.com,1
Mesh,Growth (Series C; ~$1B valuation / unicorn),"Raised $82M Series B (Mar 2025, led by Paradigm), additional from PayPal Ventures & Coinbase Ventures (Aug 2025), $75M Series C (late 2025, $1B val). ~$200M+ total.","San Francisco, CA (remote-friendly; role is US remote)",~150-250 employees (est.),Building the first global crypto payments network connecting exchanges/wallets; SmartFunding lets users pay with crypto while merchants settle in stablecoins.,Limited direct AI; core is payments/crypto infrastructure. Some AI in fraud/risk and connectivity tooling.,"Closed $75M Series C reaching $1B unicorn valuation (late 2025); partners include MetaMask, Shift4, Revolut.",https://www.meshpay.com,1
Metropolis Technologies,"Growth (late-stage private, near-IPO scale)","Nov 2025: $1.6B ($1.1B debt + $500M Series D equity) at ~$5B valuation. Investors: Eldridge, BDT & MSD","Santa Monica / Los Angeles, CA (NYC office)","~23,000 (post SP Plus acquisition; ~2,000 core tech/corporate)",AI computer-vision platform for checkout-free parking payments; largest US parking network,Vehicle recognition / computer vision; 'remembered commerce' / recognition-commerce ambitions beyond parking,Nov 2025 $1.6B raise to expand AI recognition-commerce beyond parking into retail,metropolis.io,1
Microsoft AI,public (NASDAQ: MSFT),Public; Microsoft is one of the world's largest companies,"Redmond, WA (NYC office for this role)","Microsoft ~220,000 employees; Microsoft AI is the consumer-AI division",Microsoft's consumer-AI division (under Mustafa Suleyman) building Copilot and Microsoft's in-house frontier models.,"Copilot consumer app and M365 Copilot, in-house MAI models (MAI-Voice-1, MAI-1, MAI-Image-1), personalized agentic assistant.",Aug-Oct 2025 launch of first in-house MAI models; March 2026 Copilot leadership reorg (Jacob Andreou leads Copilot; Suleyman focuses on models).,https://microsoft.com/ai,1
Modular,Growth-stage AI infra startup,"$250M Series C (Sept 2025) at $1.6B post-money (US Innovative Technology Fund; GV, General Catalyst, Greylock); ~$380M+ total raised","Mountain View, CA",~366,AI infrastructure company building a unified compute layer for AI model deployment across hardware,Mojo programming language (Python-superset for AI/HPC) and MAX platform (inference/serving stack),$250M Series C at $1.6B valuation (Sept 2025),https://www.modular.com,1
Monark Markets,startup (seed/early),"~$11.7M total (Feb 2026 $8.1M led by F-Prime; earlier $2.2M seed led by Garuda Ventures; Commerce Ventures, BBAE)","New York, NY",~10-30 employees (early-stage),"Alts-as-a-Service: API infrastructure embedding private-market access (pre-IPO, real estate, private credit) into other platforms.",Primarily fintech infra/API (not AI-first); focus on standardized rails for private markets.,Partnership with Apex Fintech Solutions to open private markets to retail; $8.1M raise (Feb 2026) to scale distribution.,https://monark-markets.com,1
MongoDB,public (NASDAQ: MDB),"public; FY2025 revenue ~$2.01B, Q3 FY26 revenue $628M (+19% YoY), Atlas ~75% of revenue","New York, NY","~5,000-6,000 employees; 65,200+ customers",Developer data platform; document database delivered mainly via the managed Atlas cloud service.,"Atlas Vector Search, semantic search, RAG; acquired Voyage AI for embedding/retrieval models to support trustworthy AI apps.",Voyage AI integration; vector/search brought to Community Edition & Enterprise Server; stock up ~38% in 2025 on AI-workload positioning.,https://www.mongodb.com,4
Moody's Corporation,public (NYSE: MCO),"Public; ratings + analytics giant, ~$7B+ revenue","New York, NY","~16,000 employees","Credit ratings, risk data, and analytics (Moody's Ratings & Moody's Analytics)","GenAI research assistant (Moody's CoPilot/Research Assistant), AI over credit/risk data, AI-driven analytics products",2025-2026: expanded generative-AI assistants and AI-powered data products across Moody's Analytics,https://www.moodys.com,1
Morgan Stanley,public (NYSE: MS),public; global investment bank & wealth/asset manager,"New York, NY","~80,000 employees","Global financial services firm: investment banking, wealth management, asset management and trading.",Enterprise GenAI (AI @ Morgan Stanley Assistant/Debrief built with OpenAI) for advisors; AI/data products & platforms across the firm.,Continued rollout of OpenAI-powered advisor tools and firm-wide AI transformation strategy through 2025-2026.,https://www.morganstanley.com,2
Motion Recruitment,Private (IT staffing/recruiting agency; 30+ years),Privately held (part of Motion Recruitment Partners); not VC-funded.,"Boston, MA (16 North American cities)","~1,000+ employees (est.)",IT/tech staffing agency placing mid-to-senior tech talent (incl. product/UX) at client companies; the actual role is at an undisclosed client.,N/A directly — places AI/product talent at client firms.,Active 2025-2026 placing AI/technical PM roles for NYC clients.,https://motionrecruitment.com,1
Moxxi Digital,"Bootstrapped, small NYC performance-marketing/adtech firm (small/intermediary-ish)",None disclosed (self-funded),New York City,Small (est. <50),Digital performance-marketing / adtech connecting media partners and advertisers on a pay-for-performance basis,"'AI-native automations,' ad-serving and audience-management optimization",2025-26: actively hiring AI product roles; founder-led (Morris Laniado),moxxidigital.com,1
Newrez,"public subsidiary (of Rithm Capital, NYSE: RITM)",Wholly-owned subsidiary of Rithm Capital; public parent,"Fort Washington, PA (NYC-area roles)","~5,000+ employees","Top-5 US mortgage originator and servicer (~$878B servicing UPB), subsidiary of Rithm Capital.",Modernizing mortgage servicing with AI; deploying Valon's AI-native servicing platform; digital borrower experience.,"2025: $1.1B pretax income, servicing portfolio to ~$878B UPB; Rithm expanding Valon stake for AI-native servicing at Newrez.",https://newrez.com,1
NTT DATA North America,Subsidiary of public NTT DATA Group (Tokyo),Public parent (part of NTT Group),"Plano, TX (parent Tokyo)","Global ~190,000","Global IT services — consulting, data & AI, industry solutions, app/infra/managed services","'tsuzumi' LLM family (tsuzumi 2, Oct 2025); private/secure GenAI; partnerships with NVIDIA and Mistral; GenAI Connector",tsuzumi 2 LLM release (Oct 2025); Leader in Everest private-cloud PEAK Matrix 2025,https://us.nttdata.com,1
NVIDIA,public (NASDAQ: NVDA),Public; one of the world's most valuable companies (multi-trillion market cap),"Santa Clara, CA","~30,000+ employees",GPU and accelerated-computing leader powering the AI era,"Full AI stack: GPUs, CUDA, NIM microservices, Nemotron open models, AI infrastructure software, and developer platforms",2025: launched/expanded Nemotron open-model coalition and AI-infrastructure software; deep partnerships across the AI ecosystem,https://www.nvidia.com,2
Open Systems Technologies,Private (staffing/recruiting firm; established 1990),Privately held; not VC-funded. ~30+ years in business.,"New York, NY",~200-500 employees (est.),IT/technology staffing and recruiting firm serving financial services and tech clients; roles are likely contract/placement at a client.,N/A directly — places AI/product talent at client companies (the actual roles are at unnamed client firms).,Continues to recruit AI and product talent for NYC financial/tech clients (2025-2026).,https://www.opensystemstech.com,2
OpenAI,"growth (capped-profit, late-stage private)",tens of billions raised; major Microsoft backing; ~$300B+ valuation range (2025),"San Francisco, CA (NYC office)","~3,000+ employees","Frontier AI lab; builds GPT models, ChatGPT, the API platform and enterprise AI products.","Frontier LLMs, agents, ChatGPT Enterprise, API platform; deploying AI across consumer and enterprise.",Continued model releases and rapid enterprise/agent product expansion through 2025-2026.,https://openai.com,1
Parloa,growth (Series D unicorn),"~$562M total; Series D $350M (Jan 2026) at $3B valuation (General Catalyst-led; EQT, Altimeter)","Munich, Germany (+ New York office)",~300+ employees,Agentic-AI platform for customer experience / contact centers,Agentic AI for customer service — AI voice/chat agents that resolve customer interactions end-to-end at enterprise scale,Jan 2026: tripled valuation to $3B with $350M Series D; surpassed $50M ARR with 150% net revenue retention,https://www.parloa.com,1
Pathos,Growth (Series D; ~$1.6B valuation),"Raised $365M Series D (May 2025), ~$1.6B post-money valuation. ~$400M+ total. Backed by major life-sciences/AI investors.","New York, NY (and Chicago)",~150-300 employees (est.),AI-enabled oncology drug development — builds a multimodal foundation model (PathOS) on clinical/molecular/imaging data to accelerate trials.,"Proprietary oncology foundation model; multimodal data platform for biomarker discovery, trial design, and asset selection.",Closed $365M Series D (May 2025); partnered with AstraZeneca and Tempus AI (~$200M data/model deal).,https://www.pathos.com,1
PatientNow,"Growth (PE-backed, mature SaaS)",PE-backed (amounts not public),"Denver, CO (Brooklyn presence)",~120-250,"EMR + practice-management + patient-acquisition/engagement software for med spas, plastic surgery, dermatology, aesthetics","Patient acquisition/engagement automation, CRM; expanding via integrations",Mar 2025 Keri Gohman named CEO; Oct 2025 acquired Recura; integration with Aesthetix CRM,patientnow.com,1
Pax8,"growth (Series E, ~$1.7B valuation)","~$344M-$395M total over 12 rounds; $185M (2022, SoftBank Vision Fund 2); ~$1.7B valuation; backers incl. Blue Cloud Ventures, HSBC","Greenwood Village, CO (remote-friendly)","~1,500+ employees",Cloud commerce marketplace connecting MSPs (managed service providers) with cloud software vendors to sell to SMBs.,AI and enablement in the Pax8 Marketplace; platform engineering for a global cloud commerce platform.,2025 expanded Microsoft alliance - among first partners to integrate with Microsoft Marketplace; launched MSP growth plan.,https://pax8.com,1
Pendo.io,"Late-stage growth (unicorn, pre-IPO)","~$356M-$468M total; $150M Series F (B Capital, Silver Lake Waterman) + $110M secondary (Thoma Bravo) at $2.6B val; ~$300M ARR","Raleigh, NC",~996,"Product-experience platform — product analytics, in-app guides, session replay, feedback, digital adoption",'Pendo Simon' ML insights plus new agent analytics (analytics for AI agents) and AI-driven insights,Expansion into agent analytics and AI-insights rollout (2025-26),https://www.pendo.io,1
Permutive,growth (Series C),"~$116M total over 4 rounds; $75M Series C led by SoftBank Vision Fund 2 (EQT Ventures, Octopus, ACE)","London, UK (NYC office)",~109 employees,"Privacy-first data platform unifying clean room, curation and first-party data activation for publishers & advertisers.","AI-driven audience modeling and proprietary taxonomy to build curated, privacy-safe targeting packages.","2025 focus on curation, data collaboration and GenAI in advertising; clean-room across 150+ publishers.",https://permutive.com,1
Pinecone,growth (Series B startup),"~$138M total; Series B $100M (2023, a16z, Menlo, ICONIQ) at $750M valuation","New York, NY (and San Mateo, CA)",~130 employees,Managed vector database for AI/ML and retrieval (RAG) applications,"Core AI infrastructure: vector search/database powering RAG, semantic search, and AI-agent memory; recently added inference/reranking","2025-2026: leadership change (founder Edo Liberty to chief scientist role, new CEO Ash Ashutosh) to scale the vector-DB business",https://www.pinecone.io,1
Posh,Startup (Series A; ~$72.5M raised across rounds),"Raised $27.5M Series A (Canapi Ventures) + strategic round (Curql, TruStage); ~$45-72.5M total. MIT-origin.","Boston, MA (NYC-metro role)",~100-150 employees (est.),"Conversational AI for banks and credit unions — voice and chat assistants handling member interactions, FAQs, transactions, and identity verification.","Purpose-built conversational/agentic AI for financial institutions across voice, digital, training, and knowledge channels; 100+ FI clients.",Expanded platform across voice/digital/knowledge channels with 200+ deployed products (2024-2025); strategic funding from credit-union investors.,https://www.posh.ai,1
Prime Video & Amazon MGM Studios,Public (NASDAQ: AMZN),Public (mega-cap),"Seattle, WA (NYC ad-products presence)",Amazon ~1.5M+ total,Streaming video (Prime Video) + film/TV studio (Amazon MGM Studios); ad-supported streaming,"Ad targeting/measurement, applied science for ad formats, recommendation/personalization",2024-26: aggressive buildout of Prime Video Ads / streaming ad products and programmatic workflows,amazon.jobs,1
Profound,"growth (Series C, unicorn)","$155M total; $96M Series C at $1B valuation led by Lightspeed (Feb 2026); prior rounds from Kleiner Perkins (Series A), Sequoia (Series B)","New York, NY",~50-150 employees,"Answer Engine Optimization (AEO/GEO) platform that helps brands measure and influence how AI systems (ChatGPT, Gemini, Perplexity) describe them.",AI-search visibility analytics for LLM answer engines; 700+ enterprise customers including 10% of the Fortune 500.,$96M Series C at $1B valuation (Feb 2026); rapid growth as AI search disrupts traditional SEO.,https://tryprofound.com,1
Publicis Groupe,Public (Euronext Paris: PUB / OTC: PUBGY),Public; ~€14.5B net revenue FY2025,"Paris, France (major US presence via Publicis Sapient, Epsilon)","~114,000","Global advertising/marketing/communications holding company (Leo Burnett, Saatchi, Publicis Sapient, Epsilon)",'CoreAI' system unifying first-party data (Epsilon identity graph) with €300M AI investment; Adobe Firefly generative content,CoreAI rollout + expanded Adobe Firefly integration; record FY2025 results (2025-26),https://www.publicisgroupe.com,1
R/GA,private (creative/innovation agency),private (formerly part of IPG; spun out/independent),"New York, NY","~1,000+ employees globally","Digital creative & innovation agency building brand experiences, products and platforms for clients.",AI product/innovation practice: building GenAI-powered creative tools and client products.,2025 expansion of AI products/innovation services as part of agency repositioning.,https://www.rga.com,1
Red Ventures,"Private, large PE-backed holding company","Backed by Silver Lake, ICONIQ Growth, Sofina, Lead Edge; operates as portfolio holdco (no typical rounds), ~$2B+ revenue","Fort Mill, SC (Charlotte metro); major NYC presence","~3,000","Digital marketing/commerce holdco building & monetizing high-intent content sites (CNET, Bankrate, The Points Guy)","AI for SEO/content at scale, conversion optimization, personalization; internal AI upskilling",2025: continued AI integration across content brands for targeting precision and personalization,redventures.com,2
Reflection,growth (well-funded AI lab startup),"$2B at $8B valuation (Oct 2025; Nvidia, Sequoia, Lightspeed, CRV, DST, Eric Schmidt); earlier $130M (2025)","New York, NY",~50-100 employees (estimate),"Open-frontier AI lab building superintelligent, open-source AI models (Western answer to DeepSeek)","Frontier open-source LLMs, autonomous coding systems/agents; part of NVIDIA's Nemotron open-model coalition",Oct 2025: raised $2B at $8B valuation; plans first open-source frontier model release in 2026,https://reflection.ai,1
Robinhood,public (NASDAQ: HOOD),Public; large-cap fintech,"Menlo Park, CA (NYC presence)","~2,500+ employees","Commission-free investing and trading app for stocks, options, crypto and retirement, plus expanding into private markets.","Crypto trading/custody (>$51B AUC), tokenized stocks/own blockchain (Arbitrum L2), AI-assisted investing (Cortex), Robinhood Ventures private-markets fund.",2025 launch of tokenized 'Stock Tokens' in EU and own L2 blockchain; rapid crypto expansion under friendlier US regulation (GENIUS Act).,https://robinhood.com,2
Rockstar Games,Private subsidiary of Take-Two Interactive (NASDAQ: TTWO),N/A (owned by Take-Two),"New York, NY","~2,000+ across global studios","AAA video-game developer/publisher (Grand Theft Auto, Red Dead Redemption)",No prominent public AI product; AI a contentious internal/labor topic,"GTA 6 slated for Nov 19, 2026; labor/union disputes (2025-26)",https://www.rockstargames.com,3
Rogo,Growth-stage startup (rapidly scaling),"$160M Series D (Kleiner Perkins; Sequoia, Thrive, Khosla, JPMorgan); ~$300M+ total raised","New York, NY (London office opened Jan 2026)",~100-200,"AI analyst / operating system for investment banking and finance — automates research, data analysis, deliverables",Agentic AI platform for finance ('Wall Street's first AI analyst'); domain-specific agents over financial documents/data,$160M Series D + European expansion (London) (2025-26),https://rogo.ai,2
Roku,public (NASDAQ: ROKU),"public; streaming platform & devices, growing ads business","San Jose, CA (NYC ads/sales presence)","~3,000+ employees",TV streaming platform (devices + Roku OS) monetized through advertising and the Roku Channel.,AI-driven content recommendations/personalization; OneView DSP using first-party audience data for ad targeting and activation.,2026 push on AI recommendations to cut content-discovery time; continued OneView ad-platform growth.,https://www.roku.com,2
RZR,Private (growth-stage ad-tech),Privately held; funding not publicly disclosed.,"San Francisco, CA (NYC and global offices)",~100-300 employees (est.),AI-driven mobile advertising / DSP platform — privacy-first audience discovery via contextual bidding signals and behavioral models (5M+ ad requests/sec).,"AI for audience discovery, contextual bidding, and behavioral modeling; scaling a self-serve DSP and CTV product line.",Building out a self-serve DSP and Connected TV (CTV) product line with new product leadership hires (2025-2026).,https://www.rzr.com,1
Scale AI,growth (late-stage private),"~$29B valuation after June 2025 Meta investment (~$14.3B for ~49%); prior Series F $1B (2024) led by investors incl. Accel, Amazon, Meta","San Francisco, CA (NYC presence)","~1,200-1,500 FTE (cut ~14% in mid-2025)","AI data infrastructure: training data, labeling, RLHF, model evaluation and enterprise GenAI application services.",Data Engine for training data; LLM evaluation & test/eval (incl. public-sector GenAI T&E); RLHF; enterprise GenAI deployment.,"June 2025 Meta strategic investment, founder Alexandr Wang departs to lead Meta Superintelligence Labs; Jason Droege interim CEO.",https://scale.com,3
Scaled Cognition,Startup (seed),~$21M seed led by Khosla Ventures; flagship model APT-1 built for <$11M,US-based (team distributed; details limited),Small (~20-40 est.),Builds agentic AI models purpose-trained for autonomous agents; APT-1 reportedly #1 on agentic benchmarks,Agentic foundation models / agent-native training (core product),2025: emerged with Khosla seed; APT-1 topping agentic benchmarks,scaledcognition.com,1
SecurityScorecard,Private growth/late-stage,"~$290-380M raised; ~$980M valuation. Investors: SVB, Fitch Group, Intel Capital, Riverwood, GV, Evolution Equity",New York City,~545-615,Cybersecurity ratings / supply-chain risk platform scoring companies' security posture (A-F) for third-party risk,"Agentic AI workflows for risk detection/response; LLM pipelines, retrieval, eval frameworks",Sept 2025 acquired HyperComply (AI compliance automation); record AI-driven quarter (Oct 2025),securityscorecard.com,5
Selby Jennings,private (specialist recruiting firm - Phaidon International),Private; recruiting firm (not the hiring employer),"New York, NY (global; part of Phaidon International)","Part of Phaidon International (~1,000+ across brands)","Specialist recruiting firm in banking, financial services and technology; this posting is on behalf of an undisclosed client.",Recruits engineering/data roles for fintech and trading clients; the actual role belongs to a client company.,Continues active fintech/quant/data-platform placements in 2025-2026.,https://selbyjennings.com,1
Software AG,Private; majority owned by Silver Lake (PE),"Silver Lake-controlled; webMethods+StreamSets (the iPaaS/AI integration assets) sold to IBM (€2.13B, 2024); broken into Adabas & Natural + ARIS","Darmstadt, Germany",Greatly reduced post-divestitures,Post-breakup: Adabas & Natural (mainframe DB + language) and ARIS (process mining/management),AI iPaaS asset (webMethods/StreamSets) went to IBM/watsonx; ARIS adds AI to process mining,Jan 2025 relaunch of Adabas & Natural and ARIS as standalone businesses; new Silver Lake leadership,https://www.softwareag.com,1
Solomon Page,private (staffing & executive search firm),private,"New York, NY",~hundreds of employees,Staffing/recruiting firm placing talent across industries; this PM role is for an unnamed client company.,N/A (recruiter); client's AI focus unknown from the listing.,Active across tech/financial-services placements (2025).,https://www.solomonpage.com,1
SpotOn,growth (late-stage private),"~$923M total over 9 rounds; Series F $300M (2022) at $3.6B valuation (a16z, Dragoneer, DST)","San Francisco, CA (role in NYC)","~2,600 employees","Restaurant & SMB software: payments, POS, and management tools","AI/automation in restaurant operations, analytics, and dashboard insights; data-driven merchant tooling",2025-2026: continued restaurant-tech expansion; secondary-market valuation reportedly ~$5B,https://www.spoton.com,1
Squarespace,private (PE-owned by Permira since Oct 2024),Taken private by Permira for ~$7.2B (2024); >$1B annual revenue,"New York, NY","~1,500-1,800 employees",Design-driven website builder and commerce platform for businesses and creators,"Generative-AI website/content creation woven through the builder; AI design, copy, and onboarding assistance",2024-2025: operating as a private company under Permira; continued investment in AI-powered site creation and commerce,https://www.squarespace.com,2
Stability AI,Growth (well-funded; restructured leadership),"Raised ~$225M total (incl. $101M seed 2022, ~$80M 2024); corporate-minority round Mar 2025 (WPP). Investors: Coatue, Lightspeed, Greycroft, Sound Ventures, WPP.","London, UK (US presence; role is remote LA)",~150-200 employees (est.),"Open-source generative AI for image, video, audio, and 3D (Stable Diffusion, Stable Audio).","Generative media foundation models — image/video/audio/3D — for marketing, entertainment, and gaming; the role targets Music & Audio.",New leadership (CEO Prem Akkaraju) and triple-digit growth; expansion into film/TV/enterprise and audio (2025).,https://stability.ai,1
